InformationCorrelation1Merged3D,InformationCorrelation1Averaged3D,DependenceCountPercentage3D,NormalisedInverseDifferenceMomentMerged3D,NormalisedInverseDifferenceMomentAveraged3D,NormalisedInverseDifferenceMerged3D,NormalisedInverseDifferenceAveraged3D,InformationCorrelation2Merged3D,InformationCorrelation2Averaged3D,RunEntropyMerged3D
-0.282965958,-0.290168587,1,0.991127983,0.991095562,0.941168229,0.941047171,0.93535047,0.932323417,4.960537272
-0.271269824,-0.278104964,1,0.990947925,0.990906201,0.941844354,0.941696527,0.918884259,0.915999033,4.778973378
-0.3007037,-0.307016997,1,0.987894981,0.987831667,0.944539135,0.944343818,0.848508596,0.84627125,4.441505136
-0.302591425,-0.307528323,1,0.991534549,0.991507962,0.946422205,0.946331008,0.933299268,0.931410235,5.012428521
-0.170523979,-0.178656612,1,0.984571583,0.984485937,0.922733944,0.922495921,0.845490581,0.84136839,4.704503559
-0.248386908,-0.256575879,1,0.989086657,0.989049931,0.934980511,0.934858182,0.911957675,0.907829077,4.837940523
-0.201253417,-0.209460713,1,0.987899559,0.987839435,0.930829213,0.930644996,0.858896527,0.853798614,4.562313949
-0.250696232,-0.262448966,1,0.988608884,0.988522303,0.935450772,0.935140906,0.861537366,0.857218479,4.35621914
-0.243577525,-0.248953573,1,0.990472168,0.99044045,0.938337248,0.938221456,0.89768401,0.894611778,4.699388576
-0.246508834,-0.255544339,1,0.990104059,0.990053854,0.938296377,0.938109871,0.885350232,0.881963897,4.552967149
-0.245086759,-0.258001372,1,0.989602735,0.98955694,0.938219269,0.938054547,0.897708621,0.892551416,4.778842837
-0.259759305,-0.268645001,1,0.990758997,0.990697294,0.940184723,0.939958589,0.903004454,0.899991046,4.643525164
-0.248618313,-0.254535794,1,0.988728246,0.988671834,0.934700262,0.93451894,0.917386994,0.91476861,4.867062444
-0.228330333,-0.235035521,1,0.988698623,0.988645335,0.934276755,0.934103573,0.890432363,0.886325236,4.68608077
-0.230785927,-0.238310676,1,0.989614202,0.989582888,0.93682754,0.936718586,0.870365941,0.86546555,4.649096637
-0.383372229,-0.390399655,1,0.993848278,0.993822754,0.952502986,0.952384755,0.964274693,0.962533486,5.186147921
-0.236521232,-0.245082702,1,0.989614071,0.989570289,0.938711638,0.938560501,0.883582071,0.878572731,4.701485042
-0.230546863,-0.237320945,1,0.989325966,0.989261781,0.93667634,0.936447465,0.857559643,0.853080687,4.423034336
-0.218561713,-0.225546212,1,0.988252419,0.98820269,0.93266047,0.932499668,0.885814198,0.880995464,4.713313438
-0.211346414,-0.21747165,1,0.989372432,0.989340259,0.93375289,0.933640245,0.881779517,0.877658857,4.701408278
-0.24705907,-0.253999898,1,0.988312475,0.988211995,0.93273609,0.932390701,0.882576993,0.878214908,4.379962463
-0.239762863,-0.24617663,1,0.988912833,0.988874745,0.935326246,0.935206003,0.906542783,0.903829179,4.868225402
-0.268083188,-0.275501267,1,0.988381301,0.988320533,0.935886451,0.935694732,0.908357509,0.905768965,4.720633415
-0.283018617,-0.290280723,1,0.991679042,0.99163514,0.946293496,0.9461279,0.927455199,0.923650058,4.942507897
-0.250884687,-0.257358723,1,0.989299353,0.989261171,0.938354721,0.938236886,0.915883113,0.913099185,4.91864138
-0.384709369,-0.390568967,1,0.993961835,0.993941469,0.955291312,0.955198458,0.960770918,0.959525034,5.186427079
-0.225486465,-0.232048316,1,0.987138121,0.987071881,0.929605324,0.92941026,0.889274628,0.885346918,4.606404583
-0.195986632,-0.207225439,1,0.986315234,0.986230544,0.925113681,0.92485616,0.848853702,0.844117227,4.569147495
-0.213891566,-0.219996466,1,0.988104329,0.988053521,0.931717855,0.931551822,0.848990703,0.845144746,4.483269943
-0.230565476,-0.23933482,1,0.988768459,0.988718468,0.932467583,0.932290467,0.864783052,0.860276456,4.345415632
-0.264696725,-0.270432816,1,0.990199685,0.990148803,0.93893589,0.938761499,0.910595821,0.907089614,4.764168969
-0.207956774,-0.2163032,1,0.988045874,0.987981089,0.929217629,0.92900795,0.86618774,0.862028047,4.558069209
-0.284684186,-0.289658135,1,0.990787111,0.990756851,0.943095105,0.94299219,0.925165625,0.922632798,4.924030093
-0.224451289,-0.232200256,1,0.989287456,0.98924828,0.933842738,0.933703784,0.883765331,0.879371095,4.76025581
-0.202295229,-0.21535637,1,0.9890126,0.988958501,0.931578049,0.931381745,0.874893847,0.868990702,4.652403895
-0.223672536,-0.232805204,1,0.986469234,0.98636634,0.931279412,0.930998155,0.876787938,0.873538986,4.62103027
-0.27943211,-0.286400805,1,0.992306284,0.992284873,0.948483834,0.948392401,0.896904346,0.893686472,4.785672672
-0.226992977,-0.23566947,1,0.989615336,0.989578196,0.936869678,0.936739448,0.886402861,0.881984047,4.71230409
-0.301452066,-0.309613271,1,0.990529494,0.990491955,0.942604979,0.942473461,0.941140629,0.938737409,5.00009756
-0.27602942,-0.281655596,1,0.991864622,0.991837066,0.946443423,0.946337149,0.916196093,0.913158633,4.900367361
-0.234765637,-0.241658392,1,0.98990131,0.989861252,0.940437741,0.940305886,0.893376457,0.889047559,4.808331052
-0.29179013,-0.297833229,1,0.989849629,0.989808746,0.941423916,0.941292328,0.930814331,0.928702063,4.981057479
-0.204451862,-0.210826058,1,0.987532195,0.987454538,0.931091996,0.930838046,0.829918475,0.824951681,4.296905144
-0.19022807,-0.19736545,1,0.986237707,0.986079567,0.928232495,0.927767056,0.8039288,0.79711567,4.191805655
-0.203860227,-0.210450063,1,0.986241676,0.98619596,0.926971734,0.926839369,0.857654825,0.853483979,4.662660026
-0.274011386,-0.286960763,1,0.990996392,0.990929133,0.944830305,0.944550375,0.880840017,0.875217175,4.464230675
-0.246017985,-0.253145444,1,0.9903767,0.990340384,0.939107227,0.938978107,0.906059656,0.902133954,4.801955381
-0.198814002,-0.206719875,1,0.987223099,0.987116533,0.932741212,0.932396579,0.818672729,0.81421655,4.215768979
-0.244590298,-0.2518896,1,0.989338292,0.989292268,0.934742636,0.934587096,0.897631779,0.893878784,4.700110667
-0.210961588,-0.219641529,1,0.988611087,0.988570542,0.934493589,0.934360252,0.881403039,0.875853666,4.759341563
-0.262232133,-0.268368242,1,0.990759812,0.990720482,0.942733545,0.942593324,0.901918402,0.898558385,4.772538459
-0.225444822,-0.232049872,1,0.98712282,0.987061186,0.93147458,0.931304387,0.885821987,0.882691,4.66683
-0.284984999,-0.291580063,1,0.991663857,0.991638482,0.945018728,0.944921086,0.913547271,0.911463796,4.787602391
-0.296370029,-0.301688407,1,0.991509428,0.991473163,0.945945868,0.94581582,0.932872143,0.930348954,4.9347947
-0.318876134,-0.330358481,1,0.99295923,0.992935757,0.951015781,0.950911638,0.937342424,0.934149172,4.998147576
-0.271377572,-0.277593328,1,0.989550047,0.989491813,0.938163404,0.93796945,0.923416839,0.92033749,4.793742913
-0.267861914,-0.274610475,1,0.989613467,0.989581679,0.93706276,0.936955652,0.90586828,0.902925943,4.741778257
-0.222310316,-0.228431267,1,0.988936255,0.988879373,0.933129168,0.932936542,0.890824116,0.887023598,4.637274874
-0.194633256,-0.200342486,1,0.985972683,0.985882845,0.927812703,0.927535839,0.815449666,0.810883203,4.26711356
-0.284783574,-0.29068242,1,0.990015421,0.989980791,0.940883899,0.940770791,0.926895355,0.924889283,4.865665546
-0.289277765,-0.298665501,1,0.986834658,0.98676979,0.939311906,0.939146282,0.918995374,0.917604663,4.894861053
-0.259567232,-0.265559357,1,0.99036633,0.990334541,0.939602157,0.93949231,0.912830815,0.910096773,4.78675172
-0.168455998,-0.177027953,1,0.98761331,0.98751512,0.932492014,0.932217956,0.798467827,0.793834684,4.361427949
-0.214017682,-0.219193362,1,0.988576688,0.988534316,0.933956999,0.933822322,0.893958957,0.890085999,4.895161328
-0.268243201,-0.275195187,1,0.988699805,0.988648142,0.94216773,0.942011349,0.865747842,0.863253813,4.503257281
-0.253910182,-0.259615472,1,0.988572461,0.988522575,0.935120772,0.934966682,0.907091586,0.904085891,4.69769697
-0.256684474,-0.263671358,1,0.990287663,0.990255828,0.937941891,0.937834188,0.920281995,0.916925918,4.928570591
-0.237354975,-0.243512747,1,0.989290484,0.98925084,0.936262616,0.936134503,0.903345096,0.900362538,4.799613903
-0.242212114,-0.24765659,1,0.988840495,0.988753189,0.934682369,0.93439413,0.894765297,0.890445784,4.61689855
-0.246905182,-0.254839922,1,0.989234262,0.989190027,0.934820384,0.934668701,0.90511871,0.901632658,4.73579949
-0.319607685,-0.324299241,1,0.992600259,0.992580704,0.949386502,0.949305637,0.921562039,0.919350596,4.863108602
-0.241104832,-0.246461575,1,0.985978692,0.985913337,0.930329335,0.930144986,0.87825299,0.874179837,4.488398613
-0.260717868,-0.266706484,1,0.986283732,0.986230283,0.932709893,0.932563149,0.907769885,0.905714293,4.825623379
-0.223306397,-0.230083501,1,0.988243646,0.988191488,0.932277646,0.932106564,0.863656314,0.859709126,4.461229414
-0.297738459,-0.306250767,1,0.992115444,0.992096102,0.945844204,0.945768172,0.946331773,0.943612105,5.194594633
-0.210779225,-0.21788796,1,0.988171522,0.98811098,0.931560833,0.931366876,0.875284478,0.87081969,4.620828754
-0.200591575,-0.208962701,1,0.987769928,0.987715021,0.932558267,0.932385579,0.85814662,0.85327118,4.643756857
-0.235022658,-0.244420304,1,0.989509696,0.989432112,0.937545608,0.937285677,0.882514192,0.878302955,4.631359424
-0.140765386,-0.152088131,1,0.984585686,0.984471299,0.922477592,0.922176904,0.789443851,0.791354706,4.514470133
-0.213910195,-0.220374606,1,0.988725216,0.988645518,0.93650161,0.936250474,0.866110234,0.860745058,4.649613305
