Volume_ID,MinorAxisLength3D,LeastAxisLength3D,VolumeDensityAEE_3D,VolumeMesh3D,Elongation3D,VolumeVoxelCount3D,MajorAxisLength3D,Flatness3D,SurfaceVolumeRatio3D,SphericalDisproportion3D,DiscretisedIntensitySkewness3D,IntensityKurtosis3D,MinimumHistogramGradient3D,MinimumDiscretisedIntensity3D,TenPercentVolumeFraction3D,VolumeFractionDifference3D,DiscretisedIntensityEntropy3D,MaximumIntensity3D,IntensityHistogramCoeffcientOfVariation3D,GlobalIntensityPeak3D,InformationCorrelation1Merged3D,InformationCorrelation1Averaged3D,DependenceCountPercentage3D,NormalisedInverseDifferenceMomentMerged3D,NormalisedInverseDifferenceMomentAveraged3D,NormalisedInverseDifferenceMerged3D,NormalisedInverseDifferenceAveraged3D,InformationCorrelation2Merged3D,InformationCorrelation2Averaged3D,RunEntropyMerged3D
volume_1,77.55423187,55.94241045,0.799913168,168456,0.8365793882,168794,92.70397164,0.6034521441,0.2854920924,3.260409117,0,0,0,32,1,0,0,64,0,63.99963379,0,0,1,1,1,1,1,0,0,4.797204218
volume_2,51.408826,39.4513697,0.72739172,50937,0.779598612,51299,65.9426854,0.598267563,0.408206075,3.12900662,0,0,0,32,1,0,0,64,0,63.9996338,0,0,1,1,1,1,1,0,0,4.27617742
volume_3,41.5529995,29.9112329,0.738654196,25897,0.771310806,26076,53.8732236,0.555215206,0.431213766,2.63810229,0,0,0,32,1,0,0,64,0,63.9996338,0,0,1,1,1,1,1,0,0,4.18558871
volume_4,58.0988293,40.8605637,0.907047391,76911,0.851685532,77096,68.2162924,0.598985407,0.263543159,2.3175571,0,0,0,32,1,0,0,64,0,63.9996338,0,0,1,1,1,1,1,0,0,4.92336645
volume_5,34.798955,23.201449,0.21326916,7338,0.42755944,7553,81.389747,0.285066,0.83102715,3.3393118,0,0,0,32,1,0,0,64,0,63.999634,0,0,1,1,1,1,1,0,0,3.177255
volume_6,56.9292575,47.7875395,0.721339643,93891,0.623017377,94456,91.3766767,0.522973052,0.34296611,3.22335696,0,0,0,32,1,0,0,64,0,63.9996338,0,0,1,1,1,1,1,0,0,4.53067862
volume_7,44.7176799,27.9793756,0.720770597,29908,0.706000271,30215,63.3394656,0.441736843,0.489241898,3.14028215,0,0,0,32,1,0,0,64,0,63.9996338,0,0,1,1,1,1,1,0,0,4.02332592
volume_8,39.6436435,30.1187239,0.877600551,31954,0.680697189,32078,58.2397637,0.517150516,0.503558159,3.30425787,0,0,0,32,1,0,0,64,0,63.9996338,0,0,1,1,1,1,1,0,0,3.97533895
volume_9,74.32933658,52.06942089,0.4529312253,106051,0.6433086379,106833,115.5422642,0.4506525926,0.437917918,4.28627634,0,0,0,32,1,0,0,64,0,63.99963379,0,0,1,1,1,1,1,0,0,4.182341672
volume_10,47.5005076,36.1330992,0.568566501,37093,0.654319178,37588,72.5953162,0.497733202,0.559560359,3.85887003,0,0,0,32,1,0,0,64,0,63.9996338,0,0,1,1,1,1,1,0,0,3.82179574
volume_11,48.4857728,36.7466005,0.709353566,44537,0.720420773,44753,67.3020193,0.545995512,0.352784008,2.58582067,0,0,0,32,1,0,0,64,0,63.9996338,0,0,1,1,1,1,1,0,0,4.50292905
volume_12,40.6649543,35.6720335,0.48454988,23443,0.638399271,23771,63.6983095,0.560015389,0.639546812,3.78494263,0,0,0,32,1,0,0,64,0,63.9996338,0,0,1,1,1,1,1,0,0,3.61636501
volume_13,49.773703,45.8120704,0.459926575,31474,0.868390376,31804,57.3171979,0.799272681,0.536642373,3.50362921,0,0,0,32,1,0,0,64,0,63.9996338,0,0,1,1,1,1,1,0,0,3.87869175
